Time[s], SBUS, 自研422+, 自研422-, 淘宝422+, 淘宝422-
0.00249348, 0, 1, 0, 1, 0
0.00251339, 0, 0, 0, 1, 0
0.00251343, 0, 0, 1, 1, 0
0.00251355, 1, 0, 1, 1, 0
0.00254314, 0, 0, 1, 1, 0
0.00254342, 0, 0, 0, 1, 0
0.00254343, 0, 0, 1, 1, 0
0.00254344, 0, 0, 0, 1, 0
0.00254348, 0, 1, 0, 1, 0
0.00259339, 0, 0, 0, 1, 0
0.00259342, 0, 0, 1, 1, 0
0.00259356, 1, 0, 1, 1, 0
0.00260314, 0, 0, 1, 1, 0
0.00260343, 0, 0, 0, 1, 0
0.00260347, 0, 1, 0, 1, 0
0.00263339, 0, 0, 0, 1, 0
0.00263342, 0, 0, 1, 1, 0
0.00263356, 1, 0, 1, 1, 0
0.00269313, 0, 0, 1, 1, 0
0.00269342, 0, 0, 0, 1, 0
0.00269347, 0, 1, 0, 1, 0
0.00275338, 0, 0, 0, 1, 0
0.00275339, 0, 1, 0, 1, 0
0.00275340, 0, 0, 0, 1, 0
0.00275341, 0, 0, 1, 1, 0
0.00275342, 0, 0, 0, 1, 0
0.00275343, 0, 0, 1, 1, 0
0.00275354, 1, 0, 1, 1, 0
0.00275355, 0, 0, 1, 1, 0
0.00275356, 1, 0, 1, 1, 0
0.00276313, 0, 0, 1, 1, 0
0.00276342, 0, 0, 0, 1, 0
0.00276347, 0, 1, 0, 1, 0
0.00278338, 0, 0, 0, 1, 0
0.00278342, 0, 0, 1, 1, 0
0.00278356, 1, 0, 1, 1, 0
0.00285313, 0, 0, 1, 1, 0
0.00285342, 0, 0, 0, 1, 0
0.00285346, 0, 1, 0, 1, 0
0.00287337, 0, 0, 0, 1, 0
0.00287341, 0, 0, 1, 1, 0
0.00287353, 1, 0, 1, 1, 0
0.00288313, 0, 0, 1, 1, 0
0.00288342, 0, 0, 0, 1, 0
0.00288345, 0, 1, 0, 1, 0
0.00293338, 0, 0, 0, 1, 0
0.00293341, 0, 0, 1, 1, 0
0.00293342, 0, 0, 0, 1, 0
0.00293343, 0, 0, 1, 1, 0
0.00293352, 1, 0, 1, 1, 0
0.00293353, 0, 0, 1, 1, 0
0.00293354, 1, 0, 1, 1, 0
0.00293355, 0, 0, 1, 1, 0
0.00293356, 1, 0, 1, 1, 0
0.00296312, 0, 0, 1, 1, 0
0.00296342, 0, 0, 0, 1, 0
0.00296346, 0, 1, 0, 1, 0
0.00299337, 0, 0, 0, 1, 0
0.00299341, 0, 0, 1, 1, 0
0.00299355, 1, 0, 1, 1, 0
0.00303312, 0, 0, 1, 1, 0
0.00303341, 0, 0, 0, 1, 0
0.00303345, 0, 1, 0, 1, 0
0.00311337, 0, 0, 0, 1, 0
0.00311340, 0, 0, 1, 1, 0
0.00311354, 1, 0, 1, 1, 0
0.00318312, 0, 0, 1, 1, 0
0.00318341, 0, 0, 0, 1, 0
0.00318345, 0, 1, 0, 1, 0
0.00320337, 0, 0, 0, 1, 0
0.00320341, 0, 0, 1, 1, 0
0.00320355, 1, 0, 1, 1, 0
0.00321310, 0, 0, 1, 1, 0
0.00321311, 1, 0, 1, 1, 0
0.00321312, 0, 0, 1, 1, 0
0.00321340, 0, 0, 0, 1, 0
0.00321345, 0, 1, 0, 1, 0
0.00323337, 0, 0, 0, 1, 0
0.00323339, 0, 0, 1, 1, 0
0.00323340, 0, 0, 0, 1, 0
0.00323341, 0, 0, 1, 1, 0
0.00323356, 1, 0, 1, 1, 0
0.00324312, 0, 0, 1, 1, 0
0.00324340, 0, 0, 0, 1, 0
0.00324346, 0, 1, 0, 1, 0
0.00327337, 0, 0, 0, 1, 0
0.00327340, 0, 0, 1, 1, 0
0.00327353, 1, 0, 1, 1, 0
0.00332311, 0, 0, 1, 1, 0
0.00332340, 0, 0, 0, 1, 0
0.00332345, 0, 1, 0, 1, 0
0.00335336, 0, 0, 0, 1, 0
0.00335339, 0, 0, 1, 1, 0
0.00335353, 1, 0, 1, 1, 0
0.00337311, 0, 0, 1, 1, 0
0.00337340, 0, 0, 0, 1, 0
0.00337345, 0, 1, 0, 1, 0
0.00342336, 0, 0, 0, 1, 0
0.00342340, 0, 0, 1, 1, 0
0.00342353, 1, 0, 1, 1, 0
0.00344311, 0, 0, 1, 1, 0
0.00344340, 0, 0, 0, 1, 0
0.00344343, 0, 1, 0, 1, 0
0.00344344, 0, 0, 0, 1, 0
0.00344345, 0, 1, 0, 1, 0
0.00347336, 0, 0, 0, 1, 0
0.00347340, 0, 0, 1, 1, 0
0.00347353, 1, 0, 1, 1, 0
0.00352310, 0, 0, 1, 1, 0
0.00352339, 0, 0, 0, 1, 0
0.00352344, 0, 1, 0, 1, 0
0.00356336, 0, 0, 0, 1, 0
0.00356339, 0, 0, 1, 1, 0
0.00356353, 1, 0, 1, 1, 0
0.00357310, 0, 0, 1, 1, 0
0.00357339, 0, 0, 0, 1, 0
0.00357344, 0, 1, 0, 1, 0
0.00359335, 0, 0, 0, 1, 0
0.00359339, 0, 0, 1, 1, 0
0.00359353, 1, 0, 1, 1, 0
0.00360310, 0, 0, 1, 1, 0
0.00360338, 0, 0, 0, 1, 0
0.00360344, 0, 1, 0, 1, 0
0.00361336, 0, 0, 0, 1, 0
0.00361339, 0, 0, 1, 1, 0
0.00361354, 1, 0, 1, 1, 0
0.00367310, 0, 0, 1, 1, 0
0.00367340, 0, 0, 0, 1, 0
0.00367344, 0, 1, 0, 1, 0
0.00368335, 0, 0, 0, 1, 0
0.00368338, 0, 0, 1, 1, 0
0.00368351, 1, 0, 1, 1, 0
0.00369310, 0, 0, 1, 1, 0
0.00369339, 0, 0, 0, 1, 0
0.00369343, 0, 1, 0, 1, 0
0.00371334, 0, 0, 0, 1, 0
0.00371335, 0, 1, 0, 1, 0
0.00371336, 0, 0, 0, 1, 0
0.00371338, 0, 0, 1, 1, 0
0.00371339, 0, 0, 0, 1, 0
0.00371340, 0, 0, 1, 1, 0
0.00371353, 1, 0, 1, 1, 0
0.00372310, 0, 0, 1, 1, 0
0.00372339, 0, 0, 0, 1, 0
0.00372343, 0, 1, 0, 1, 0
0.00376335, 0, 0, 0, 1, 0
0.00376339, 0, 0, 1, 1, 0
0.00376352, 1, 0, 1, 1, 0
0.00381310, 0, 0, 1, 1, 0
0.00381339, 0, 0, 0, 1, 0
0.00381343, 0, 1, 0, 1, 0
